timestamp,aqi_index,co,no2,o3,so2,pm2_5,pm10,nh3,temperature,humidity,wind_speed
2025-12-30 04:00:00,3,995.04,31.62,28.55,8.46,40.07,50.07,16.77,1.1,58,3.3
2026-01-02 22:00:00,5,918.03,17.6,76.64,13.01,88.85,97.8,14.05,-7.8,58,3.1
2026-01-18 23:00:00,4,726.41,16.92,53.83,9.84,65.51,74.73,12.11,-3.8,44,5.6
2026-01-24 15:00:00,5,944.63,20.92,132.52,13.9,93.81,103.68,13.66,-11.3,47,7.9
2026-02-10 02:00:00,4,987.59,22.67,57.16,5.57,67.27,76.0,7.98,-0.6,60,4.0
2026-02-14 21:00:00,5,668.47,11.68,102.87,7.52,82.33,92.75,9.94,-7.7,54,4.5
2026-02-16 02:00:00,4,608.28,15.67,83.15,7.8,56.01,66.4,10.16,-9.0,48,5.4
2026-02-18 17:00:00,5,1064.4,24.95,95.61,11.32,121.47,137.61,12.23,-2.5,38,5.8
2026-02-19 02:00:00,4,741.5,18.6,84.46,9.94,69.45,79.72,11.65,-6.9,40,5.7
2026-03-21 09:00:00,3,316.72,7.84,105.81,2.12,13.72,16.58,5.44,5.6,57,5.6
2026-03-22 19:00:00,4,652.47,16.65,77.62,5.75,50.13,58.48,17.28,1.2,58,6.3
2026-03-29 05:00:00,2,320.75,6.52,72.86,1.25,19.56,21.75,1.32,5.5,83,2.9
2026-03-31 05:00:00,2,386.84,9.45,70.37,3.51,19.65,23.99,6.24,7.2,61,4.8
2025-11-22 02:00:00,3,547.39,15.4,58.46,5.35,43.23,52.12,21.03,-2.6,52,1.3
2025-11-24 05:00:00,4,748.83,18.95,68.39,7.42,54.63,67.83,18.47,2.7,24,3.1
2025-11-26 07:00:00,2,202.25,3.25,95.8,1.73,17.49,19.7,2.82,6.9,13,3.9
2025-12-02 02:00:00,4,775.47,20.84,52.15,12.48,62.05,72.8,19.56,-1.0,55,1.8
